tic_id,status,rows,error
78311317,failed,0,Failed after retry
366722716,failed,0,Failed after retry
388925056,success,13457,
366698806,success,14095,
421193432,success,6704,
376813729,success,22995,
376876349,failed,0,Failed after retry
149951788,success,13457,
380546964,success,25759,
325254297,success,17312,
62941422,success,22502,
78288454,failed,0,Failed after retry
94894074,failed,0,Failed after retry
56763829,success,13438,
49455484,failed,0,Failed after retry
56756514,failed,0,Failed after retry
397027515,failed,0,Failed after retry
397000521,failed,0,Failed after retry
377230613,failed,0,Failed after retry
366712422,failed,0,Failed after retry
366722824,failed,0,Failed after retry
62965351,failed,0,Failed after retry
35028471,success,6704,
349445884,failed,0,Failed after retry
82051539,failed,0,Failed after retry
277226351,failed,0,Failed after retry
377189903,failed,0,Failed after retry
363574007,success,13290,
49464291,success,14131,
96195643,success,3521,
262811823,failed,0,Failed after retry
301629076,failed,0,Failed after retry
82055064,failed,0,Failed after retry
130588420,failed,0,Failed after retry
376813241,failed,0,Failed after retry
397012498,failed,0,Failed after retry
377263308,failed,0,Failed after retry
96196277,failed,0,Failed after retry
66628887,success,16639,
147697618,success,16712,
56760934,success,13411,
149969467,failed,0,Failed after retry
380542602,failed,0,Failed after retry
397583548,failed,0,Failed after retry
380546308,failed,0,Failed after retry
66630432,failed,0,Failed after retry
281907544,success,13918,
421193943,failed,0,Failed after retry
56813498,failed,0,Failed after retry
66603888,success,13263,
377171602,failed,0,Failed after retry
380668425,success,17105,
144213410,failed,0,Failed after retry
376784892,success,26389,
152702015,failed,0,Failed after retry
49546669,failed,0,Failed after retry
376757409,failed,0,Failed after retry
173107765,success,25720,
96194410,success,3521,
49504164,success,25889,
446671796,success,14115,
130590386,failed,0,Failed after retry
421192521,failed,0,Failed after retry
56762947,success,13408,
66670383,failed,0,Failed after retry
56810374,success,13379,
446677707,failed,0,Failed after retry
380642367,failed,0,Failed after retry
147683759,success,9949,
376812733,success,6770,
377249503,success,13457,
96195354,success,6794,
56758226,failed,0,Failed after retry
349457075,failed,0,Failed after retry
377262134,success,13457,
81988495,failed,0,Failed after retry
397486306,failed,0,Failed after retry
396951237,failed,0,Failed after retry
56719971,failed,0,Failed after retry
144166706,failed,0,Failed after retry
49418514,success,25743,
149968305,failed,0,Failed after retry
289513458,failed,0,Failed after retry
96195395,success,3417,
66667396,failed,0,Failed after retry
397486480,failed,0,Failed after retry
366722161,success,3508,
421195580,failed,0,Failed after retry
152829505,success,13371,
376852649,success,6747,
82070121,failed,0,Failed after retry
396949632,failed,0,Failed after retry
66630409,failed,0,Failed after retry
35010589,success,3521,
35064640,failed,0,Failed after retry
376785216,failed,0,Failed after retry
144306256,failed,0,Failed after retry
377169533,success,17786,
56812140,success,13353,
35062897,success,3521,
147677855,failed,0,Failed after retry
82054568,success,22518,
49430009,failed,0,Failed after retry
152827208,success,13402,
56812190,failed,0,Failed after retry
446672152,failed,0,Failed after retry
380165622,success,25876,
380577544,failed,0,Failed after retry
376787010,success,22998,
366721703,failed,0,Failed after retry
66673366,failed,0,Failed after retry
35088534,success,3521,
376797360,failed,0,Failed after retry
56813546,failed,0,Failed after retry
78290719,success,25877,
183648631,failed,0,Failed after retry
376865733,failed,0,Failed after retry
130587794,success,13457,
149951723,success,13457,
421194235,failed,0,Failed after retry
325253026,success,25831,
144166518,failed,0,Failed after retry
144248994,failed,0,Failed after retry
376786234,failed,0,No light curve found
144169840,failed,0,Failed after retry
262934195,success,16721,
396951334,failed,0,Failed after retry
56812488,failed,0,Failed after retry
49464709,failed,0,Failed after retry
149968627,success,24561,
144169629,failed,0,Failed after retry
380577517,failed,0,Failed after retry
66671321,failed,0,Failed after retry
349458434,failed,0,Failed after retry
421193239,success,6704,
281909731,failed,0,Failed after retry
96244132,success,13413,
325252858,failed,0,Failed after retry
35090587,failed,0,Failed after retry
144213699,failed,0,Failed after retry
49465233,failed,0,Failed after retry
144121352,failed,0,Failed after retry
62964949,success,25912,
377172242,success,13457,
380154551,failed,0,Failed after retry
56810016,failed,0,Failed after retry
412130750,success,17718,
262782294,failed,0,Failed after retry
35016665,success,6704,
49505235,failed,0,Failed after retry
173147143,failed,0,Failed after retry
397051818,success,13447,
78289496,success,1731,
397056703,success,13457,
397024581,failed,0,Failed after retry
377263450,failed,0,Failed after retry
176939617,failed,0,Failed after retry
152802399,failed,0,Failed after retry
49454407,failed,0,Failed after retry
301628336,success,32741,
376877578,failed,0,Failed after retry
96198073,failed,0,Failed after retry
377261957,success,13457,
81986270,failed,0,Failed after retry
471011765,success,17484,
49453107,success,22514,
78311379,failed,0,Failed after retry
62942054,failed,0,Failed after retry
49503383,failed,0,Failed after retry
376851794,success,3399,
66671319,success,13362,
397027850,failed,0,Failed after retry
376813641,failed,0,Failed after retry
377231339,failed,0,Failed after retry
388917185,success,13457,
78288745,failed,0,Failed after retry
56757296,failed,0,Failed after retry
130590925,failed,0,No light curve found
380154639,success,25737,
130609107,failed,0,No light curve found
396972192,failed,0,Failed after retry
377170285,success,13457,
380574362,success,26093,
176939717,failed,0,Failed after retry
173144498,failed,0,Failed after retry
289446087,failed,0,Failed after retry
366681657,failed,0,Failed after retry
396972684,success,32369,
366698963,failed,0,Failed after retry
301628742,failed,0,Failed after retry
82051536,failed,0,Failed after retry
376852778,failed,0,Failed after retry
35020198,failed,0,Failed after retry
149969713,success,13457,
396947690,success,26213,
78310229,failed,0,Failed after retry
349446059,success,13359,
953345605,success,13457,
301628517,success,14088,
377169488,success,17755,
349445700,failed,0,Failed after retry
56758940,failed,0,Failed after retry
281910007,success,26158,
380668809,failed,0,Failed after retry
349445507,failed,0,Failed after retry
173098445,failed,0,Failed after retry
49505756,failed,0,Failed after retry
376797035,failed,0,Failed after retry
376876117,failed,0,Failed after retry
396956082,success,13326,
376849892,failed,0,Failed after retry
325315247,failed,0,Failed after retry
35062784,success,13253,
96195963,success,3521,
82051519,success,22523,
953230073,success,13347,
366681600,success,26358,
49544688,failed,0,Failed after retry
366700465,failed,0,Failed after retry
262932870,failed,0,Failed after retry
380154051,failed,0,Failed after retry
446676411,failed,0,Failed after retry
397057078,success,16721,
35063277,failed,0,Failed after retry
56762708,failed,0,Failed after retry
366661005,failed,0,Failed after retry
49428268,failed,0,Failed after retry
176942289,failed,0,Failed after retry
35020546,success,6704,
281907937,success,6707,
