tic_id,classification,source
62941112,unknown,TIC
952755262,unknown,TIC
376757328,unknown,TIC
82050170,unknown,TIC
902586507,unknown,TIC
366721366,unknown,TIC
337749263,unknown,TIC
953345421,unknown,TIC
952760184,unknown,TIC
953343087,unknown,TIC
902886334,unknown,TIC
902597476,unknown,TIC
35021564,unknown,TIC
262782210,unknown,TIC
953655682,unknown,TIC
902886760,unknown,TIC
35018092,unknown,TIC
376876641,unknown,TIC
902908192,unknown,TIC
953636887,unknown,TIC
446671978,unknown,TIC
56758930,unknown,TIC
376796260,unknown,TIC
35020552,unknown,TIC
902900485,unknown,TIC
376877578,unknown,TIC
902883385,unknown,TIC
325314318,unknown,TIC
35021687,unknown,TIC
397052896,unknown,TIC
56815395,unknown,TIC
903248964,unknown,TIC
953258865,unknown,TIC
902586630,unknown,TIC
903236086,unknown,TIC
78312436,unknown,TIC
446674545,unknown,TIC
902891562,unknown,TIC
380164890,unknown,TIC
953637245,unknown,TIC
952749199,unknown,TIC
262782174,unknown,TIC
953297434,unknown,TIC
376851202,unknown,TIC
953319408,unknown,TIC
96195253,unknown,TIC
953638430,unknown,TIC
902904513,unknown,TIC
149969646,unknown,TIC
953628136,unknown,TIC
953321868,unknown,TIC
953658616,unknown,TIC
953296722,unknown,TIC
376788324,unknown,TIC
902904975,unknown,TIC
376812594,unknown,TIC
953298337,unknown,TIC
366711638,unknown,TIC
952753208,unknown,TIC
953300732,unknown,TIC
902591376,unknown,TIC
78288348,unknown,TIC
953637567,unknown,TIC
903249086,unknown,TIC
349446002,unknown,TIC
953252243,unknown,TIC
902877702,unknown,TIC
953339533,unknown,TIC
902599557,unknown,TIC
902886702,unknown,TIC
902588260,unknown,TIC
953630456,unknown,TIC
902885387,unknown,TIC
397025428,unknown,TIC
366697562,unknown,TIC
301627487,unknown,TIC
337749187,unknown,TIC
35018047,unknown,TIC
376886145,unknown,TIC
903251042,unknown,TIC
952766383,unknown,TIC
902887466,unknown,TIC
953626942,unknown,TIC
446677388,unknown,TIC
952761812,unknown,TIC
82070609,unknown,TIC
903247960,unknown,TIC
902887975,unknown,TIC
35097858,unknown,TIC
56812176,unknown,TIC
903239210,unknown,TIC
902896571,unknown,TIC
952757050,unknown,TIC
953645099,unknown,TIC
903236325,unknown,TIC
903250213,unknown,TIC
446675464,unknown,TIC
903249165,unknown,TIC
952763870,unknown,TIC
902883388,unknown,TIC
281907790,unknown,TIC
953640076,unknown,TIC
953645520,unknown,TIC
78288001,unknown,TIC
376850651,unknown,TIC
82053563,unknown,TIC
953302468,unknown,TIC
953634946,unknown,TIC
902565687,unknown,TIC
35019381,unknown,TIC
56757966,unknown,TIC
953307454,unknown,TIC
903239790,unknown,TIC
78309888,unknown,TIC
277226000,unknown,TIC
289512709,unknown,TIC
78288349,unknown,TIC
902888899,unknown,TIC
903241001,unknown,TIC
376875484,unknown,TIC
952753997,unknown,TIC
953308469,unknown,TIC
953638755,unknown,TIC
903256140,unknown,TIC
301629127,unknown,TIC
35018747,unknown,TIC
953307031,unknown,TIC
953313469,unknown,TIC
952767957,unknown,TIC
952769582,unknown,TIC
952760101,unknown,TIC
903245590,unknown,TIC
902876910,unknown,TIC
902882373,unknown,TIC
35017755,unknown,TIC
