,flux_std,flux_range,flux_mad,flux_skew,flux_kurtosis,dominant_period,period_power,num_periods,flare_count,largest_flare,dip_count,largest_dip_depth
flux_std,1.0,0.99989884854798,-0.009398616072150031,0.23476223418454686,0.3482571277527297,0.14809682444764027,-0.04501682278358258,0.16711400170827,-0.04245864274786589,0.9998988000182563,-0.04381051756591939,-0.16934447098591954
flux_range,0.99989884854798,1.0,-0.010209012722262495,0.23270355260367542,0.34732393351518903,0.1473210269826431,-0.044423386420243634,0.1678052303052106,-0.04191269520913678,0.999999999206404,-0.0426875706748679,-0.1648012685197006
flux_mad,-0.009398616072150031,-0.010209012722262495,1.0,0.01061192499763329,-0.06921925203817217,-0.07869507013193937,0.44137941647536705,0.05959660814708699,0.27823426417848746,-0.0102093133146043,-0.018973412419202664,-0.12397234897084738
flux_skew,0.23476223418454686,0.23270355260367542,0.01061192499763329,1.0,0.7911620755172963,0.16375857739482735,-0.21966666243394442,0.00942588755959649,-0.1496274977600228,0.23268582711962302,-0.1687536932568277,-0.16306172451539974
flux_kurtosis,0.3482571277527297,0.34732393351518903,-0.06921925203817217,0.7911620755172963,1.0,0.12720688181441459,-0.28935998564863735,0.3065913075146733,-0.22196177210190748,0.34731143092104605,-0.18582654658968994,-0.18350547781878943
dominant_period,0.14809682444764027,0.1473210269826431,-0.07869507013193937,0.16375857739482735,0.12720688181441459,1.0,-0.15008500625135685,0.011729902015785557,-0.05040808938223587,0.14731347132529501,-0.0020320348866662875,0.01396127253660335
period_power,-0.04501682278358258,-0.044423386420243634,0.44137941647536705,-0.21966666243394442,-0.28935998564863735,-0.15008500625135685,1.0,0.050461557483359266,0.3912232939140893,-0.044411230356794965,0.11729060163056104,-0.06522088408325048
num_periods,0.16711400170827,0.1678052303052106,0.05959660814708699,0.00942588755959649,0.3065913075146733,0.011729902015785557,0.050461557483359266,1.0,0.08832704338856506,0.16779979037378154,0.06698544578677701,0.10360068310668161
flare_count,-0.04245864274786589,-0.04191269520913678,0.27823426417848746,-0.1496274977600228,-0.22196177210190748,-0.05040808938223587,0.3912232939140893,0.08832704338856506,1.0,-0.04190689829585532,0.013178506146454397,-0.012317386338671585
largest_flare,0.9998988000182563,0.999999999206404,-0.0102093133146043,0.23268582711962302,0.34731143092104605,0.14731347132529501,-0.044411230356794965,0.16779979037378154,-0.04190689829585532,1.0,-0.04269083011809125,-0.16481858124235804
dip_count,-0.04381051756591939,-0.0426875706748679,-0.018973412419202664,-0.1687536932568277,-0.18582654658968994,-0.0020320348866662875,0.11729060163056104,0.06698544578677701,0.013178506146454397,-0.04269083011809125,1.0,0.23977017753775712
largest_dip_depth,-0.16934447098591954,-0.1648012685197006,-0.12397234897084738,-0.16306172451539974,-0.18350547781878943,0.01396127253660335,-0.06522088408325048,0.10360068310668161,-0.012317386338671585,-0.16481858124235804,0.23977017753775712,1.0
